Company,"Primary Industry, Country"
NH Foods Ltd.,"Food, Japan"
Sandvik AB,"Fabricated Metal Products, Sweden"
Chong Qing Changan Automobile Co. Ltd.,"Motor Vehicles, China"
Becton Dickinson & Co.,"Medical Instruments & Equipment, United States"
MEIJI Holdings Co. Ltd.,"Food, Japan"
Navistar International Corp.,"Motor Vehicles, United States"
Norsk Hydro ASA,"Fabricated Metal Products, Norway"
Hydro Aluminum AS,"Fabricated Metal Products, Norway"
Baxter International Inc.,"Medical Instruments & Equipment, United States"
Murata Manufacturing Co. Ltd.,"Computers & Other Electronic Products, Japan"
Formosa Chemicals & Fibre Corp.,"Textiles, Taiwan Province of China"
Lotte Chemical Corp.,"Petroleum & Coal Products, Korea"
Stryker Corp.,"Medical Instruments & Equipment, United States"
Sinomach Automobile Co. Ltd.,"Machinery, China"
Tyco International PLC,"Computers & Other Electronic Products, Ireland"
Air Products & Chemicals Inc.,"Chemicals, United States"
Synnex Technology International Corp.,"Computers & Other Electronic Products, Taiwan Province of China"
Ajinomoto Co. Inc.,"Food, Japan"
Western Refining Inc.,"Petroleum & Coal Products, United States"
Vedanta Ltd.,"Primary Metals, India"
Nidec Corp.,"Computers & Other Electronic Products, Japan"
Haier Electronics Group Co. Ltd.,"Electrical Equipment & Appliances, Hong Kong Special Administrative Region of China"
Luxottica Group SpA,"Medical Instruments & Equipment, Italy"
Bunzl PLC,"Paper, United Kingdom"
Amcor Ltd.,"Paper, Australia"
Eastman Chemical Co.,"Chemicals, United States"
Applied Materials Inc.,"Computers & Other Electronic Products, United States"
Royal DSM NV,"Chemicals, Netherlands"
TDK Corp.,"Computers & Other Electronic Products, Japan"
BrightOil Petroleum (Holdings) Ltd.,"Leather Products, Hong Kong Special Administrative Region of China"
Carlsberg A/S,"Beverages, Denmark"
Schindler Holding Ltd.,"Machinery, Switzerland"
New Hope Liuhe Co. Ltd.,"Machinery, China"
Kone Corp.,"Machinery, Finland"
Cenovus Energy Inc.,"Petroleum & Coal Products, Canada"
Mylan Inc.,"Chemicals, United Kingdom"
PGNiG SA,"Petroleum & Coal Products, Poland"
Gail India Ltd.,"Petroleum & Coal Products, India"
Inner Mongolia Yi Li Industry Co. Ltd.,"Food, China"
Reliance Steel & Aluminum Co.,"Primary Metals, United States"
Hormel Foods Corp.,"Food, United States"
Pernod-Ricard SA,"Beverages, France"
Celgene Corp.,"Pharmaceuticals, United States"
Salzgitter AG,"Primary Metals, Germany"
Xiamen Xiangyu Co. Ltd.,"Communications Equipment, China"
Vestas Wind Systems AS,"Machinery, Denmark"
Nan Ya Plastic Corp.,"Chemicals, Taiwan Province of China"
China Coal Energy Co. Ltd.,"Petroleum & Coal Products, China"
Corning Inc.,"Communications Equipment, United States"
Sekisui Chemical Co. Ltd.,"Fabricated Metal Products, Japan"
Tingyi Cayman Islands Holdings Corp.,"Food, China"
Seiko Epson Corp.,"Computers & Other Electronic Products, Japan"
China International Marine Containers Group Ltd.,"Railcars, Ships, & Other Trans. Equip., China"
SKF AB,"Fabricated Metal Products, Sweden"
Saras SPA,"Petroleum & Coal Products, Italy"
Mosaic Co.,"Chemicals, United States"
Canadian Natural Resources Ltd.,"Petroleum & Coal Products, Canada"
Barrick Gold Corp.,"Primary Metals, Canada"
Swatch Group AG,"Instruments, Switzerland"
Smurfit Kappa Group PLC,"Paper, Ireland"
